Stadt,Anzahl_Jobs
Berlin,17230
Hamburg,13650
München,16427
Köln,10487
Frankfurt,12010
Stuttgart,7463
Düsseldorf,11118
Dortmund,2143
Essen,3665
Bremen,1663
Hannover,3619
Leipzig,3953
Dresden,1299
Nürnberg,2692
Duisburg,833
Bochum,674
Wuppertal,439
Bielefeld,881
Bonn,1608
Mannheim,1569
Karlsruhe,1774
Wiesbaden,358
Münster,1681
Augsburg,568
Gelsenkirchen,117
Aachen,417
Mönchengladbach,167
Braunschweig,250
Chemnitz,168
Kiel,303
Krefeld,152
Magdeburg,136
Freiburg im Breisgau,85
Oberhausen,74
Lübeck,156
Erfurt,597
Rostock,231
Mainz,323
Kassel,261
Hagen,65
Hamm,57
Saarbrücken,121
Mülheim an der Ruhr,420
Herne,30
Osnabrück,65
Oldenburg,189
Solingen,66
Leverkusen,152
Potsdam,357
Neuss,306
Heidelberg,729
Paderborn,280
Darmstadt,222
Regensburg,115
Würzburg,755
Ingolstadt,318
Heilbronn,115
Ulm,881
Göttingen,145
Wolfsburg,331
Pforzheim,472
Recklinghausen,28
Offenbach am Main,9
Bottrop,50
Fürth,65
Bremerhaven,7
Reutlingen,134
Remscheid,52
Koblenz,219
Moers,35
Bergisch Gladbach,89
Erlangen,275
Trier,133
Jena,469
Siegen,121
Salzgitter,12
Hildesheim,8
Cottbus,43
Gera,18
Kaiserslautern,37
Witten,21
Gütersloh,196
Iserlohn,29
Schwerin,48
Zwickau,74
Düren,23
Esslingen am Neckar,12
Ratingen,424
Hanau,38
Marl,29
Tübingen,190
Lünen,38
Ludwigsburg,69
Velbert,35
Konstanz,27
Minden,5
Wilhelmshaven,14
Villingen-Schwenningen,28
Marburg,1
Dorsten,12
Neumünster,78
Rheine,4
Gießen,85
Lüdenscheid,6
Castrop-Rauxel,21
Gladbeck,30
Viersen,9
Troisdorf,37
Arnsberg,2
Delmenhorst,7
Bocholt,24
Detmold,14
Lüneburg,41
Bayreuth,113
Brandenburg an der Havel,9
Norderstedt,83
Celle,14
Bamberg,77
Dinslaken,54
Aschaffenburg,29
Unna,46
Plauen,7
Aalen,8
Weimar,2
Herford,11
Fulda,11
Grevenbroich,6
Dormagen,49
Landshut,53
Herten,51
Bergheim,21
Kempten,4
Garbsen,8
Wesel,142
Rosenheim,180
Sindelfingen,131
Schwäbisch Gmünd,45
Rüsselsheim,147
Offenburg,2
Langenfeld,63
Friedrichshafen,111
Hameln,21
Stralsund,105
Hürth,20
Göppingen,8
Menden,11
Görlitz,42
Euskirchen,5
Hilden,138
Sankt Augustin,14
Eschweiler,7
Greifswald,25
Meerbusch,50
Pulheim,11
Schweinfurt,1
Neustadt an der Weinstraße,2
Ahlen,1
Wolfenbüttel,1
Neu-Ulm,1
Waiblingen,29
Langenhagen,7
Willich,23
Bad Homburg,97
Gummersbach,7
Wetzlar,21
Lingen,19
Emden,11
Cuxhaven,15
Passau,70
Frechen,10
Ravensburg,13
Kleve,5
Peine,1
Soest,11
Bornheim,5
Schwerte,1
Bad Oeynhausen,14
Elmshorn,7
Wittenberg,2
Herzogenrath,31
Dülmen,14
Böblingen,162
Erkrath,32
Stade,10
Bitterfeld-Wolfen,9
Hennef,1
Alsdorf,14
Neustadt am Rübenberge,5
Leonberg,6
Freising,11
Kamen,8
Erkelenz,20
Straubing,5
Wismar,1
Fellbach,24
Brühl,8
Filderstadt,28
Amberg,2
Homburg,97
Bad Kreuznach,5
Oberursel,37
Lehrte,49
Bruchsal,1
Rodgau,4
Monheim am Rhein,18
Eisenach,9
Bietigheim-Bissingen,46
Rottenburg am Neckar,2
Pinneberg,5
Dachau,2
Weiden,2
Nettetal,3
Kaarst,8
Freiberg,34
Oranienburg,1
Borken,2
Eberswalde,6
Königswinter,4
Bautzen,52
Aurich,20
Ansbach,12
Nürtingen,9
Dreieich,26
Falkensee,1
Kirchheim unter Teck,5
Siegburg,30
Bensheim,45
Buxtehude,1
Suhl,3
Mettmann,44
Schorndorf,12
Hückelhoven,13
Neumarkt,25
Pirna,5
Ahaus,29
Kamp-Lintfort,32
Ettlingen,264
Buchholz in der Nordheide,6
Hofheim am Taunus,6
Hoyerswerda,1
Warendorf,1
Maintal,7
Hemer,3
Niederkassel,3
Germering,6
Leinfelden-Echterdingen,74
Schwäbisch Hall,1
Beckum,1
Coesfeld,33
Bernau bei Berlin,1
Kempen,18
Ostfildern,18
Greven,2
Datteln,9
Neu-Isenburg,226
Wermelskirchen,71
Altenburg,3
Langen,10
Backnang,4
Wesseling,2
Kehl,2
Erding,2
Riesa,9
Merseburg,6
Uelzen,4
Leer,21
Fürstenfeldbruck,13
Winsen,4
Balingen,159
Mörfelden-Walldorf,4
Königs Wusterhausen,3
Radebeul,1
Dietzenbach,28
Jülich,67
Korschenbroich,4
Crailsheim,5
Wedel,2
Werl,7
Eisenhüttenstadt,24
Gevelsberg,8
Bad Vilbel,19
Höxter,7
Herrenberg,3
Meschede,6
Lohmar,4
Kornwestheim,11
Bad Nauheim,14
Ahrensburg,1
Ennepetal,36
Idar-Oberstein,3
Forchheim,5
Güstrow,7
Achim,10
Werne,14
Bad Hersfeld,3
Weil am Rhein,1
Waltrop,14
Bühl,10
Oelde,8
Springe,5
Geesthacht,11
Haan,9
Friedberg,4
Taunusstein,13
Vaihingen an der Enz,1
Zittau,4
Weißenfels,10
Bretten,30
Naumburg,3
Rendsburg,8
Schwandorf,1
Hamminkeln,5
Meißen,4
Neukirchen-Vluyn,16
Kelkheim,1
Winnenden,15
Bad Neuenahr-Ahrweiler,1
Selm,4
Rheinbach,1
Overath,4
Geislingen an der Steige,6
Verden,2
Kulmbach,3
Senftenberg,51
Heiligenhaus,34
Einbeck,1
Neckarsulm,93
Unterschleißheim,41
Delitzsch,6
Weinstadt,7
Strausberg,10
Rödermark,16
Ilmenau,59
Hennigsdorf,2
Reinbek,21
Zirndorf,2
Rottweil,1
Horb am Neckar,4
Wiehl,7
Rathenow,1
Mühlacker,2
Sprockhövel,5
Hattersheim am Main,2
Salzkotten,1
Herdecke,8
Bedburg,3
Lindau,4
Eisleben,1
Mosbach,21
Pfungstadt,1
Friedrichsdorf,24
Ditzingen,11
Roth,4
Meckenheim,10
Weiterstadt,3
Bad Oldesloe,9
Obertshausen,7
Helmstedt,60
Pfaffenhofen,15
Schleswig,3
Ingelheim am Rhein,4
Ludwigsfelde,17
Weingarten,5
Geretsried,6
Remseck am Neckar,4
Calw,2
Groß-Gerau,1
Idstein,1
Starnberg,4
Werder,3
Haren,2
Herzogenaurach,126
Öhringen,1
Nagold,3
Leutkirch,1
Metzingen,7
Westerstede,4
Teltow,27
Karben,2
Überlingen,4
Bad Soden am Taunus,7
Gelnhausen,2
Büdingen,4
Hockenheim,1
Halle,193
Aichach,8
Kitzingen,1
Schortens,11
Eschborn,241
Luckenwalde,2
Gersthofen,16
Quickborn,6
Burgwedel,17
Alfeld,3
Seligenstadt,2
Schmalkalden,6
Flörsheim am Main,4
Eschwege,1
Torgau,2
Kaltenkirchen,25
Sulzbach-Rosenberg,1
Bergneustadt,2
Laupheim,3
Günzburg,1
Hechingen,6
Hessisch Oldendorf,1
Wildeshausen,2
Gerlingen,44
Weil der Stadt,14
Alzenau,7
Wittenberge,2
Pfullingen,1
Korntal-Münchingen,2
Schenefeld,14
Radeberg,8
Heusenstamm,4
Burghausen,14
Donauwörth,25
Bad Aibling,28
Wolfratshausen,1
Schkeuditz,10
Bad Tölz,1
Uetersen,5
Zossen,2
Kronberg im Taunus,27
Weißenburg,1
Renningen,32
Kamenz,2
Gescher,6
Reinheim,1
Großenhain,4
Bad Krozingen,15
Heidenau,2
Glinde,2
Penzberg,14
Gunzenhausen,3
Babenhausen,2
Hünfeld,1
Wendlingen am Neckar,6
Freilassing,14
Bad Segeberg,5
Lohr,1
Königstein im Taunus,1
Freiberg am Neckar,3
Brake,1
Hilchenbach,33
Straelen,8
Garching,152
Ebersbach an der Fils,6
Brackenheim,1
Dieburg,1
Bargteheide,14
Ober-Ramstadt,9
Markranstädt,3
Schwarzenbek,4
Künzelsau,17
Raunheim,83
Walldorf,210
Schwalbach am Taunus,14
Leuna,5
Taucha,4
Plochingen,9
Mainburg,1
Neustadt,36
Kalkar,4
Dorfen,2
Bad Bramstedt,1
Pegnitz,18
Schwentinental,6
Zeven,6
Kelsterbach,8
Langenselbold,1
Lich,1
Eppstein,3
Weilburg,2
Asperg,2
Tornesch,7
Haselünne,1
Bitburg,1
Grafing,5
Montabaur,5
Twistringen,6
Gaildorf,2
Hersbruck,5
Wernau,1
Bischofswerda,1
Rosbach,3
Buchloe,21
Schmölln,1
Balve,2
Beelitz,1
Stollberg,2
Bad Windsheim,6
Velten,1
Zella-Mehlis,2
Erkner,3
Weinsberg,1
Billerbeck,6
Glückstadt,9
Ebersberg,2
Ochsenfurt,1
Miesbach,8
Schwaigern,1
Lichtenau,2
Altensteig,1
Steinau an der Straße,2
Mülheim-Kärlich,54
Diez,2
Visselhövede,3
Niesky,21
Betzdorf,8
Olbernhau,21
Geisenfeld,1
Zörbig,3
Bad Orb,5
Barmstedt,2
Weilheim an der Teck,2
Breckerfeld,6
Niddatal,2
Wahlstedt,1
Elsfleth,2
Tirschenreuth,1
Teterow,2
Nieder-Olm,4
Barth,4
Obernburg,1
Sebnitz,3
Waldenbuch,3
Reinfeld,6
Waldheim,3
Bad Lauchstädt,5
Kirn,4
Landsberg,4
Ebersbach,6
Oberkochen,147
Weida,7
Radeburg,5
Wörrstadt,4
Neuenbürg,2
Heringen,4
Weikersheim,15
Neukirchen,16
Breuberg,1
Nossen,4
Ebermannstadt,3
Birkenfeld,2
Maulbronn,1
Laufen,1
Leisnig,1
Horstmar,4
Rosenfeld,1
Schwarzheide,2
Neuffen,1
Klingenberg,10
Güglingen,1
Nabburg,1
Gransee,21
Geislingen,6
Hirschau,1
Großschirma,3
Altentreptow,1
Marne,2
Linz am Rhein,5
Hausach,1
Schlüsselfeld,3
Biesenthal,3
Harburg,10
Heimsheim,16
Velburg,2
Wanzleben,3
Hofheim,6
Unkel,2
Monheim,25
Oppenau,1
Bischofsheim,2
Liebenwalde,2
Waldenburg,41
Eschenbach,2
Tegernsee,1
Oranienbaum,1
Elterlein,17
Schirgiswalde,2
Hirschberg,16
Königstein,1
Heringen/Helme,4
Niemegk,2
